 INFO  Accepting connections at http://localhost:8000
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 9 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/bootstrap.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/ui/components/SearchFilterModal.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/testHarness.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /assets/svg/filter.svg
 HTTP  2/16/2026 6:44:12 PM ::1 GET /assets/svg/search.svg
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /config/instance-config.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/r2.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/storage/r2-mgmt.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 2 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/storage/r2-s3.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 2 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/storage/s3-multipart.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 2 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/storage/s3-client.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 1 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/utils/formatters.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/utils/storagePointer.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/videoNotePayload.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/storageService.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/utils/torrentHash.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/services/s3Service.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/channelProfile.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/forYouView.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/kidsView.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/exploreView.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/subscriptions.js
 HTTP  2/16/2026 6:44:12 PM ::1 GET /js/ui/components/FeedInfoPopover.js
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:12 PM ::1 Returned 200 in 9 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/docsView.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/constants.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/index.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/lruCache.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/attachments/attachmentUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/moderationService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/dmNostrService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/directMessagesStore.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/storage/dmDb.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/dmNotificationManager.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 11 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/dmDecryptWorkerClient.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/state/appState.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/components/modalAccessibility.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/defaultClient.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostrClientRegistry.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/authProviders/nip07.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 11 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 11 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 9 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/authProviders/nip46.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/authProviders/nsec.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/authProviders/generate.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/hashtagPreferencesService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/adminListStore.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/toolkit.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 9 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/state/cache.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/state/profileCache.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/profileMetadataService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/hex.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 10 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/nostrHelpers.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 24 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 25 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 29 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/simpleEventEmitter.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/authUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/asyncUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/relayConstants.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostrEventSchemas.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/cachePolicies.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostrPublish.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/sessionActor.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/nip46Client.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/nip07Permissions.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/relaySubscriptionService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/decryptionSchemeCache.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/storage/s3-url.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/webtorrent.min.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/magnetShared.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/magnetUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/magnets.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /vendor/crypto-helpers.bundle.min.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/overlay/popoverEngine.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/client.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/nip71.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/watchHistory.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/watchHistoryBindings.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/viewEvents.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 11 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 13 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 12 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 13 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 14 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/reactionEvents.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/commentEvents.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/gridHealth.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/urlHealthObserver.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/domUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/components/VideoCard.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/components/videoMenuRenderers.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/profileMedia.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/feedEngine/stages.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/moderationUiHelpers.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/moderationCopy.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 8 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 9 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/zapSharedState.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/zapSplit.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/zapNotifications.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/lnurl.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/platformAddress.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/payments/nwcClient.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostrViewEventsFacade.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/views/VideoListView.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/nip46LoggingUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostrToolsBootstrap.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/hashtagNormalization.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/webtorrent.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/embedDiagnostics.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 7 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/playbackUtils.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 2 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/cardSourceVisibility.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/videoTags.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/lists.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/feedEngine/index.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/watchHistoryService.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/sidebarLoading.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/watchHistoryDebug.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/signRequestQueue.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/viewCounter.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/reactionCounter.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/loginModalController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/editModalController.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/revertModalController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/tagPreferenceMenuController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/reactionController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/pointer.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/videoPointer.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/magnetValidators.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/videoDeduper.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/serviceWorkerFallbackMessages.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/profileBatchFetcher.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/videoTimestamps.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/applicationBootstrap.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/engagementController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/similarContentController.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/creatorProfileController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/urlHealthController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/videoModalCommentController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/videoModalController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/torrentStatusController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/shareNostrController.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/moderationActionController.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/moderationDecorator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/services/trustBootstrap.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/bindCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/feedCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/playbackCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 4 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/authSessionCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 3 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/modalCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/moderationCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/routerCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/app/uiCoordinator.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/storage.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/state/profileSettingsStore.js
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 5 ms
 HTTP  2/16/2026 6:44:13 PM ::1 Returned 200 in 6 ms
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/nostr/nip46Queue.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/utils/safeDecode.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/designSystem/metrics.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /js/ui/overlay/overlayRoot.js
 HTTP  2/16/2026 6:44:13 PM ::1 GET /vendor/floating-ui.dom.bundle.min.js
